"License.Se","License.Ty","License.Cl","License._1","Agency.Zon","Agency.Z_1","County.Nam","Premises.N","Doing.Busi","Actual.Add","Additional","City","State","Zip","License.Ce","License.Or","License.Ef","License.Ex","Latitude","Longitude","Location","BoroCode","BoroName","CountyFIPS","NTACode","NTAName","Shape_Leng","Shape_Area","coords.x1","coords.x2"
1233172,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","924 SECOND AVENUE CORP","MATISSE","924 2ND AVENUE",NA,"NEW YORK","NY",10022,835828,"06/24/2010","06/01/2014","05/31/2016",40.75423376,-73.96890518,"(40.75423376, -73.96890518)",1,"Manhattan","061","MN19","Turtle Bay-East Midtown",21638.7812063,17397872.2036,992864.983286279,214065.911311035
1235780,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MADERA PIZZA & GRILL INC","MADERA CUBAN GRILL","4729 VERNON BLVD","VERNON BLVD & 47TH ROAD","LONG ISLAND CITY","NY",11101,788997,"03/23/2010","03/01/2014","02/29/2016",40.74475567,-73.95341499,"(40.74475567, -73.95341499)",4,"Queens","081","QN31","Hunters Point-Sunnyside-West Maspeth",74586.2958061,102392938.158,997158.457919509,210614.641404327
1105757,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","3920 BWY REST INC",NA,"3920 BROADWAY",NA,"NEW YORK","NY",10032,835899,"05/31/2000","05/30/2014","04/30/2016",40.83838775,-73.94149066,"(40.83838775, -73.94149066)",1,"Manhattan","061","MN36","Washington Heights South",22096.3050359,23100222.0682,1000439.84018647,244730.015164749
1136016,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","322 E 14TH STREET CORP","NOWHERE","322 E 14TH ST","13TH & 15TH STREETS","NEW YORK","NY",10003,846567,"05/09/2003","05/01/2015","04/30/2017",40.73206845,-73.984436,"(40.73206845, -73.984436)",1,"Manhattan","061","MN22","East Village",13539.285123,10897298.9126,988563.522892185,205989.236814929
1040250,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","HAIROS PLACE INC","HAIROS PLACE","81 09 ROOSEVELT AVENUE",NA,"JACKSON HEIGHTS","NY",11372,844208,NA,"03/01/2015","02/28/2017",40.74759854,-73.88476895,"(40.74759854, -73.88476895)",4,"Queens","081","QN28","Jackson Heights",29422.7922879,47854896.0415,1016178.53944757,211667.957976998
1136014,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ZVAH INC","SKAL","37 CANAL STREET","ORCHID & ALLEN STREETS","NEW YORK","NY",10002,849975,"06/11/2003","06/09/2015","05/31/2017",40.71470493,-73.99107689,"(40.71470493, -73.99107689)",1,"Manhattan","061","MN27","Chinatown",20786.2843253,14501644.9496,986723.661586106,199662.913355272
1040246,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","FLAMINGO TAVERN CORP","FRIEND'S TAVERN","78 11 ROOSEVELT AVENUE",NA,"JACKSON HEIGHTS","NY",11372,853097,"10/26/1989","10/01/2015","09/30/2017",40.74730707,-73.88753467,"(40.74730707, -73.88753467)",4,"Queens","081","QN28","Jackson Heights",29422.7922879,47854896.0415,1015412.34283181,211560.770206025
1272393,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","GATSBY'S ON THE BAY CORP",NA,"695 BAY ST",NA,"STATEN ISLAND","NY",10304,847026,"08/29/2013","08/01/2015","07/31/2017",40.62508142,-74.07477525,"(40.62508142, -74.07477525)",5,"Staten Island","085","SI37","Stapleton-Rosebank",56431.550882,46523826.2222,963492.959630657,167019.255019973
1272395,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HELL'S CHICKEN LLC",NA,"641 10TH AVE","SOUTH STORE","NEW YORK","NY",10036,851394,"09/24/2013","09/01/2015","08/31/2017",40.76174055,-73.99392482,"(40.76174055, -73.99392482)",1,"Manhattan","061","MN15","Clinton",35037.1715797,18381380.2263,985932.970898647,216799.409207357
1146048,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CGM-GH LLC & PAIGE GH GROUP LLC","THE CHESTER","18 9TH AVENUE","CORNER WEST 13TH STREET","NEW YORK","NY",10014,839100,"10/14/2004","10/01/2014","09/30/2016",40.74013912,-74.00586829,"(40.74013912, -74.00586829)",1,"Manhattan","061","MN23","West Village",29385.0304235,25000526.3287,982623.815373138,208929.307379007
