"License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
1275754,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TEMPO LIBERO BAR CORP","","88-08 ROOSEVELT AVE","1ST FLOOR","JACKSON HEIGHTS","NY",11372,810622,"03/25/2014","03/25/2014","02/28/2016",40.74824794,-73.87744489,"(40.74824794, -73.87744489)"
1275736,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DE HOOP CORP","KAIA WINE BAR","1614 3RD AVE","","NEW YORK","NY",10128,810757,"04/17/2014","04/17/2014","03/31/2016",40.78174783,-73.95181593,"(40.78174783, -73.95181593)"
1275724,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LA VUE CATERING INC","LA VUE","3202 EMMONS AVE","","BROOKLYN","NY",11235,811041,"06/12/2014","06/12/2014","05/31/2016",40.58405477,-73.93285463,"(40.58405477, -73.93285463)"
1275723,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KQT LLC","CO BA 53","401 W 53RD ST","","NEW YORK","NY",10019,810952,"05/28/2014","05/28/2014","04/30/2016",40.76536845,-73.98761126,"(40.76536845, -73.98761126)"
1026784,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","THREE & SEVENTY THREE GOURMET LTD","BBQ","203 E 72ND STREET","AKA 1265 3RD AVENUE","NEW YORK","NY",10021,842615,"01/09/1990","01/01/2015","12/31/2016",40.76977379,-73.96052131,"(40.76977379, -73.96052131)"
1273191,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ELEVATED 959 LLC","PULLMAN KITCHEN","959 2ND AVE","","NEW YORK","NY",10022,852832,"10/25/2013","10/01/2015","09/30/2017",40.75541236,-73.96812753,"(40.75541236, -73.96812753)"
1275703,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","ANNADALE TERRACE CORP","","801 ANNADALE RD","","STATEN ISLAND","NY",10312,810970,"05/30/2014","05/30/2014","04/30/2016",40.54234942,-74.17741362,"(40.54234942, -74.17741362)"
1271483,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BLEACHERS 67 INC","","6714 FOREST AVE","1ST FL","RIDGEWOOD","NY",11385,810386,"01/31/2014","01/31/2014","12/31/2015",40.70409011,-73.90173083,"(40.70409011, -73.90173083)"
1182706,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PAESANO REST CORP","PAESANO OF MULBERRY STREET","136 MULBERRY ST","GRAND ST & HESTER ST","NEW YORK","NY",10013,831665,"04/02/2007","05/19/2015","03/31/2017",40.71844002,-73.99764703,"(40.71844002, -73.99764703)"
1275686,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EE BAR LLC","E'S BAR","511 AMSTERDAM AVE","","NEW YORK","NY",10024,789405,"04/10/2014","10/29/2014","03/31/2016",40.78671415,-73.9757084,"(40.78671415, -73.9757084)"
1200708,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JASPER HOSPITALITY LLC","THE EAST END BAR & GRILL","1664 1ST AVE","","NEW YORK","NY",10028,855963,"01/29/2008","01/01/2016","12/31/2017",40.77742504,-73.94895587,"(40.77742504, -73.94895587)"
1247775,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ABURIYA CORP","ABURIYA KINNOSUKE","213 E 45TH STREET","","NEW YORK","NY",10017,842727,"01/03/2011","01/01/2015","12/31/2016",40.75259389,-73.97266607,"(40.75259389, -73.97266607)"
1247781,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","BUDDA ASIAN & ITALIAN CUISINE CORP","","1353 EDWARD L GRANT HIGHWAY","","BRONX","NY",10452,851012,"08/23/2011","08/01/2015","07/31/2017",40.84019339,-73.92158055,"(40.84019339, -73.92158055)"
1227260,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","LA COCINA BORICUA INC.","","2245B WESTCHESTER AVE","","BRONX","NY",10462,856124,"01/19/2010","01/01/2016","12/31/2017",40.83433714,-73.85025632,"(40.83433714, -73.85025632)"
1275640,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TACOMBI HOLDING NA LLC","CAFE EL PRESIDENTE","30 W 24TH ST","","NEW YORK","NY",10010,810783,"04/24/2014","04/24/2014","03/31/2016",40.74267992,-73.99022235,"(40.74267992, -73.99022235)"
1275631,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","WINESOCIAL LLC","THE CAMLIN","175 KENT AVE","","BROOKLYN","NY",11211,831064,"01/16/2015","01/16/2015","12/31/2016",40.71828278,-73.96391394,"(40.71828278, -73.96391394)"
1275628,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","CRAB ADDISON INC","JOES CRAB SHACK","92-50 59TH AVE","","ELMHURST","NY",11373,845583,"12/11/2014","12/11/2014","11/30/2016",40.73427515,-73.86895556,"(40.73427515, -73.86895556)"
1275618,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FIGARO VILLAGGIO INC","LA ESQUINA BAR & GRILL","344 E 6TH ST","","NEW YORK","NY",10003,846232,"02/07/2014","07/16/2015","01/31/2016",40.72694717,-73.98746455,"(40.72694717, -73.98746455)"
1247869,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HUDSON FULTON CORPORATION","INDIAN ROAD CAFE & MARKET","600 W 218TH ST","","NEW YORK","NY",10034,841602,"12/09/2010","12/01/2014","11/30/2016",40.87246301,-73.91724773,"(40.87246301, -73.91724773)"
1148202,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","WINNERS BAR INC","","82 67 BROADWAY","WHITNEY AVE & ELMHURST AVE","ELMHURST","NY",11373,835592,"07/14/2004","07/01/2014","06/30/2016",40.74184762,-73.88091191,"(40.74184762, -73.88091191)"
1247884,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","17 MURRAY REST CORP","DARK HORSE","17 MURRAY STREET","","NEW YORK","NY",10038,848114,"04/06/2011","04/01/2015","03/31/2017",40.71351682,-74.00809313,"(40.71351682, -74.00809313)"
1275577,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","NEW ORIENTAL GUYANA RESTAURANT INC","","115-22 LIBERTY AVE","","RICHMOND HILL","NY",11419,855948,"01/17/2014","01/01/2016","12/31/2017",40.68579923,-73.82702688,"(40.68579923, -73.82702688)"
1275555,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FIFTYONE MERCHANTS LLC","VIA CAROTA","49 GROVE ST","STORE 1 2 3","NEW YORK","NY",10014,811164,"07/09/2014","07/09/2014","06/30/2016",40.73292478,-74.0039476,"(40.73292478, -74.0039476)"
1275554,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","ELLA HOSPITALITY LLC","MEADOWSWEET","149 BROADWAY","","BROOKLYN","NY",11211,811320,"06/06/2014","08/08/2014","05/31/2016",40.71029748,-73.96336135,"(40.71029748, -73.96336135)"
1026624,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DRITON LLC","NINO'S RISTORANTE","1354 1ST AVENUE","","NEW YORK","NY",10021,843194,"02/03/1998","02/01/2015","01/31/2017",40.76824408,-73.95557637,"(40.76824408, -73.95557637)"
1148226,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","WOGIE'S INC","","39 GREENWICH AVENUE","CHARLES & PERRY STREETS","NEW YORK","NY",10014,834644,"05/04/2004","05/01/2014","04/30/2016",40.73528702,-74.00040725,"(40.73528702, -74.00040725)"
1148229,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","363 WEST 46TH STREET TAVERN INC","","363 W 46TH ST","8TH AVENUE & 9TH AVENUE","NEW YORK","NY",10036,803629,"04/12/2004","04/01/2014","03/31/2016",40.76058234,-73.98965019,"(40.76058234, -73.98965019)"
1247956,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SOHA 116 RESTAURANT CORP","HARLEM TAVERN","301 W 116TH ST AKA 2153 8TH AV","","NEW YORK","NY",10027,846608,"06/30/2011","06/01/2015","05/31/2017",40.80448532,-73.95536214,"(40.80448532, -73.95536214)"
1247960,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MIKNIC LLC","40KNOTS","200 COLUMBIA ST","","BROOKLYN","NY",11231,842235,"12/02/2010","12/01/2014","11/30/2016",40.6852225,-74.00260809,"(40.6852225, -74.00260809)"
1200248,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SUPER GOURMET FOOD CORP","THUNDER JACKSONS","169 BLEECKER ST","","NEW YORK","NY",10012,802557,"03/05/2008","03/01/2014","02/29/2016",40.72883054,-74.00036771,"(40.72883054, -74.00036771)"
1148524,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","IFETA CORP","DIWINE","4115 31ST AVE","","ASTORIA","NY",11106,802644,"03/26/2004","03/01/2014","02/29/2016",40.76093284,-73.9161226,"(40.76093284, -73.9161226)"
1275456,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","VIENNA 2 INC","WERKSTATT","509 CONEY ISLAND AVE","","BROOKLYN","NY",11218,831262,"03/09/2015","03/09/2015","02/28/2017",40.64529972,-73.97047203,"(40.64529972, -73.97047203)"
1283628,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SAIGON CAF? 89 INC","","612 AMSTERDAM AVE","","NEW YORK","NY",10024,831400,"04/07/2015","04/07/2015","03/31/2017",40.79005,-73.97336,"(40.79005, -73.97336)"
1255421,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","NATALIA BAR CORP","NATALIAS BAR","62 10 39TH AVE","","WOODSIDE","NY",11377,854242,"12/06/2011","12/01/2015","11/30/2017",40.74683371,-73.9015362,"(40.74683371, -73.9015362)"
1275414,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STOUT II INC","STOUT NYC","90 JOHN ST","","NEW YORK","NY",10038,810701,"04/09/2014","04/09/2014","03/31/2016",40.70822257,-74.00650859,"(40.70822257, -74.00650859)"
1026729,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","POST HOUSE INVESTORS LP","POST HOUSE","28 E 63RD STREET","","NEW YORK","NY",10021,851227,"09/19/1993","09/01/2015","08/31/2017",40.76587429,-73.96913572,"(40.76587429, -73.96913572)"
1131102,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","475 SOHO LLC","DOS CAMINOS SOHO","475 477 W BROADWAY","","NEW YORK","NY",10012,842099,"12/19/2002","12/01/2014","11/30/2016",40.72663744,-74.00005664,"(40.72663744, -74.00005664)"
1266869,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","JJT HOSPITALITY LLC","HUNTER'S","213 SMITH ST","","BROOKLYN","NY",11201,839190,"12/18/2012","11/01/2014","10/31/2016",40.68456783,-73.99192705,"(40.68456783, -73.99192705)"
1248128,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LUCKY SEVEN RESTAURANT & BAR LLC","","1447 1457 ST NICHOLAS AVENUE","","NEW YORK","NY",10033,850218,"07/12/2011","07/01/2015","06/30/2017",40.85045728,-73.93296985,"(40.85045728, -73.93296985)"
1243810,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","JUNE SING RESTAURANT INC","NEW THRIVING RESTAURANT","120 12 LIBERTY AVE","120TH & 121ST STREET","S RICHMOND HILL","NY",11419,848074,"05/13/2011","05/01/2015","04/30/2017",40.68660028,-73.82308915,"(40.68660028, -73.82308915)"
1199901,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ASTORIA APPLE LLC","APPLEBEE'S NEIGHBORHOOD GRILL & BAR","3801 35TH AVE","","LONG ISLAND CITY","NY",11101,856371,"01/17/2008","01/01/2016","12/31/2017",40.75549871,-73.92288218,"(40.75549871, -73.92288218)"
1275363,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HI DELANCEY RESTAURANT LLC & EATDRINKINNOVATE LLC","","148-150 DELANCEY ST","","NEW YORK","NY",10002,845764,"01/24/2014","03/05/2015","12/31/2015",40.71814035,-73.98649494,"(40.71814035, -73.98649494)"
1273154,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","NAKORNTHAI INC","THAI KITCHEN BY THE SEA","67-20 ROCKAWAY BEACH BLVD","SPACE H","ARVERNE","NY",11692,810726,"04/10/2014","04/10/2014","03/31/2016",40.59075903,-73.79621219,"(40.59075903, -73.79621219)"
1227251,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","208 01 NORTHERN BLVD RESTAURANT CORP","VERANDA RESTAURANT CAFE","208 01 NORTHERN BLVD","208TH AND 209TH STREETS","BAYSIDE","NY",11361,854497,"12/15/2009","12/01/2015","11/30/2017",40.75879089,-73.77557958,"(40.75879089, -73.77557958)"
1275348,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","HOWARD PROJECT LLC","LE FANFARE","1103 MANHATTAN AVE","","BROOKLYN","NY",11222,811249,"07/28/2014","07/28/2014","06/30/2016",40.73624916,-73.95524891,"(40.73624916, -73.95524891)"
1127000,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TECTON CAFE INC","ESTANCIA 460","460 GREENWICH STREET","DESBROSSES & WATTS STREETS","NEW YORK","NY",10013,803617,"05/13/2002","05/01/2014","04/30/2016",40.72374617,-74.00954668,"(40.72374617, -74.00954668)"
1275326,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","FATTY'S INC","FATTY'S CAFE","45-17 28TH AVE","","ASTORIA","NY",11103,851958,"04/17/2014","09/01/2015","08/31/2017",40.76334682,-73.90902725,"(40.76334682, -73.90902725)"
1150575,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","DEITY II INC","","368 ATLANTIC AVENUE","BOND ST & NEVINS ST","BROOKLYN","NY",11217,854021,"10/24/2007","10/01/2015","09/30/2017",40.68740194,-73.98621311,"(40.68740194, -73.98621311)"
1248213,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","DAI DO KO RO INC","CHIMAC","42 24 26 BELL BOULEVARD","","BAYSIDE","NY",11361,845040,"03/09/2011","03/01/2015","02/28/2017",40.76234342,-73.77045369,"(40.76234342, -73.77045369)"
1199777,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CHIPOTLE MEXICAN GRILL OF COLORADO, LLC","CHIPOTLE MEXICAN GRILL","269 AMSTERDAM AVE","AKA 175 W 72ND AVE","NEW YORK","NY",10023,834868,"05/22/2008","05/01/2014","04/30/2016",40.77894757,-73.98136105,"(40.77894757, -73.98136105)"
1143067,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","LABADEE MANOIR INC","","2071315 JAMAICA AVE","JAMAICA AVE BET 207 & 208TH ST","JAMAICA","NY",11428,855028,"12/04/2003","12/01/2015","11/30/2017",40.71418734,-73.75303505,"(40.71418734, -73.75303505)"
1199717,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SULLIVAN ST BISTRO INC","SULLIVAN ST BISTRO","169 SULLIVAN ST","W HOUSTON ST & BLEECKER ST","NEW YORK","NY",10012,856444,"12/12/2007","12/02/2015","11/30/2017",40.72772681,-74.00125306,"(40.72772681, -74.00125306)"
1275274,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HOUSE OF HEALTH HEALING AND HAPPINESS INC, THE","","405 E 6TH ST","","NEW YORK","NY",10009,855996,"01/30/2014","01/04/2016","12/31/2017",40.72633313,-73.98601043,"(40.72633313, -73.98601043)"
1275273,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","CHIPOTLE MEXICAN GRILL","28 W 40TH ST","","NEW YORK","NY",10018,856580,"01/27/2014","01/07/2016","12/31/2017",40.75253285,-73.98261735,"(40.75253285, -73.98261735)"
1248232,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ANANDKAR CORP","BUNGALO","32 03 BROADWAY","","ASTORIA","NY",11106,842850,"01/31/2011","01/01/2015","12/31/2016",40.76163867,-73.92451619,"(40.76163867, -73.92451619)"
1148618,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MYMOON CORP","MYMOON","184 96 NORTH 10TH STREET","BEDFORD & DRIGGS","BROOKLYN","NY",11211,831709,"04/21/2005","04/01/2015","03/31/2017",40.71893912,-73.95515751,"(40.71893912, -73.95515751)"
1199665,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","STUFFED OWL LLC, THE","THE HABITAT","988 990 MANHATTAN AVE","INDIA & HURON","BROOKLYN","NY",11222,803477,"04/03/2008","04/01/2014","03/31/2016",40.732876,-73.95462311,"(40.732876, -73.95462311)"
1275252,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","525 BROOME STREET RESTAURANT LLC","CHALK POINT KITCHEN","525 BROOME ST","","NEW YORK","NY",10013,810702,"04/09/2014","04/09/2014","03/31/2016",40.72388414,-74.00406693,"(40.72388414, -74.00406693)"
1148622,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BICHEIROS CAFE INC","","105 05 JAMAICA AVENUE","105TH & 106TH STREETS","RICHMOND HILL","NY",11418,835338,"05/06/2004","05/08/2014","04/30/2016",40.69527833,-73.84193686,"(40.69527833, -73.84193686)"
1248277,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OTG MANAGEMENT JFK LLC","CROQUE MADAME","JFK INT'L AIRPORT TERM 2 G 21","","JAMAICA","NY",11430,841522,"12/08/2010","12/01/2014","11/30/2016",40.65394477,-73.79089912,"(40.65394477, -73.79089912)"
1248282,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","513 COLUMBUS LLC","BAR COTTA","513 COLUMBUS AVENUE","","NEW YORK","NY",10024,844002,"02/01/2011","02/02/2015","01/31/2017",40.78560901,-73.97272815,"(40.78560901, -73.97272815)"
1248293,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PARLOR CLUB NYC LLC","","290 HUDSON STREET","","NEW YORK","NY",10013,849854,"06/09/2011","06/03/2015","05/31/2017",40.72563954,-74.00749921,"(40.72563954, -74.00749921)"
1248295,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LIONS 95 INC","","282 ATLANTIC AVENUE","","BROOKLYN","NY",11201,845405,"04/19/2011","04/01/2015","03/31/2017",40.68877166,-73.98980397,"(40.68877166, -73.98980397)"
1272905,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","1647 SECOND AVE CORP","THE SUPPLY HOUSE","1647 2ND AVE","","NEW YORK","NY",10028,853427,"10/31/2013","10/01/2015","09/30/2017",40.77744353,-73.95203938,"(40.77744353, -73.95203938)"
1199636,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TREATY MANAGEMENT INC","SIN BIN","1074 1ST AVE","AKA 401 E 58TH ST","NEW YORK","NY",10022,810595,"03/12/2008","03/01/2014","02/29/2016",40.75947959,-73.96205995,"(40.75947959, -73.96205995)"
1199615,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","PEANUT INDUSTRIES INC","VELVET LOUNGE","174 BROADWAY","","BROOKLYN","NY",11211,854594,"11/23/2007","11/01/2015","10/31/2017",40.7100084,-73.96257967,"(40.7100084, -73.96257967)"
1275217,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AZ HOLDING CORPORATION","DRUNKEN HORSE","225 10TH AVE","","NEW YORK","NY",10011,855724,"01/27/2014","01/01/2016","12/31/2017",40.74779279,-74.00408856,"(40.74779279, -74.00408856)"
1248296,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","APR RESTAURANT LLC","HAVANA CAFE","3151 E TREMONT AVENUE","","BRONX","NY",10461,847723,"03/23/2011","03/11/2015","02/28/2017",40.83768707,-73.83448427,"(40.83768707, -73.83448427)"
1250824,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AMBI NEW YORK LLC","HOSPADA","321 E 73RD STREET","1ST FLOOR & BASEMENT","NEW YORK","NY",10021,844457,"03/28/2011","03/01/2015","02/28/2017",40.76924875,-73.95733323,"(40.76924875, -73.95733323)"
1151364,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","FRENASIA INC","","163 35 CROSS BAY BLVD","CROSS BAY BLVD & 163RD AVE","HOWARD BEACH","NY",11414,841947,"12/09/2004","12/01/2014","11/30/2016",40.65188333,-73.837893,"(40.65188333, -73.837893)"
1248333,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","2K CAFE OLE INC","EX0 CAFE","70 20 AUSTIN STREET","","FOREST HILLS","NY",11375,848392,"04/06/2011","04/01/2015","03/31/2017",40.72062646,-73.84624836,"(40.72062646, -73.84624836)"
1283631,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","LOTUS GARDEN RESTAURANT INC","","4200 HYLAN BLVD","","STATEN ISLAND","NY",10308,831401,"04/07/2015","04/07/2015","03/31/2017",40.53755,-74.15003,"(40.53755, -74.15003)"
1283635,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MANHATTAN MAHARAJA LLC","JUBAN","207 10TH AVE","","NEW YORK","NY",10011,831276,"03/12/2015","03/12/2015","02/28/2017",40.74735,-74.00481,"(40.74735, -74.00481)"
1275183,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SAS RESTAURANTS LLC","","807 8TH AVE","STORE #4","NEW YORK","NY",10019,811105,"06/25/2014","06/25/2014","05/31/2016",40.76180094,-73.98643311,"(40.76180094, -73.98643311)"
1275181,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","LA FRONTERA NIGHTLIFE ENTERTAINMENT CORP","","149-15 JAMAICA AVE","","JAMAICA","NY",11435,831000,"12/31/2014","12/31/2014","11/30/2016",40.70205584,-73.8052484,"(40.70205584, -73.8052484)"
1248343,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","CHIPOTLE MEXICAN GRILL","1379 6TH AVENUE","","NEW YORK","NY",10019,842393,"12/21/2010","12/01/2014","11/30/2016",40.76365527,-73.97775948,"(40.76365527, -73.97775948)"
1193868,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TWO FAT FROGS INC","ROOSEVELT SPORTS BAR","133 45 ROOSEVELT AVENUE 1ST FL","PRINCE ST & COLLEGE POINT BLVD","FLUSHING","NY",11354,847144,"08/22/2007","08/01/2015","07/31/2017",40.75840868,-73.83374761,"(40.75840868, -73.83374761)"
1250815,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","EL PILLO INC","AMARU","84 13 NORTHERN BLVD","","JACKSON HEIGHTS","NY",11372,846792,"06/07/2011","06/01/2015","05/31/2017",40.75587239,-73.88339928,"(40.75587239, -73.88339928)"
1275162,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","BAR RIDGE 8910 5TH AVE LLC","RED WHITE & BREW","8910 5TH AVE","","BROOKLYN","NY",11209,856307,"01/30/2014","01/01/2016","12/31/2017",40.6196761,-74.02778267,"(40.6196761, -74.02778267)"
1275160,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MORALES CABRERA CORP","GREEN RANCHO","741 9TH AVE","","NEW YORK","NY",10019,855756,"01/08/2014","01/01/2016","12/31/2017",40.76350374,-73.9889171,"(40.76350374, -73.9889171)"
1248364,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","551 HUDSON RESTAURANT LLC","SPASSO","551 HUDSON STREET CORNER STORE","","NEW YORK","NY",10014,843203,"01/10/2011","01/05/2015","12/31/2016",40.73516332,-74.00612017,"(40.73516332, -74.00612017)"
1148686,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","314 5TH ENTERPRISES INC","TURNTABLE","314 5TH AVE 2FL","31ST STREET & 32ND STREET","NEW YORK","NY",10001,838544,"10/01/2004","10/01/2014","09/30/2016",40.74701668,-73.98566495,"(40.74701668, -73.98566495)"
1275153,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","AKNY & CO INC","","149-38 41ST AVE","","FLUSHING","NY",11355,810385,"01/31/2014","01/31/2014","12/31/2015",40.76232486,-73.81446493,"(40.76232486, -73.81446493)"
1283636,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PJR STEAKHOUSE INC","ROCCO'S STEAKHOUSE","72 MADISON AVE","","NEW YORK","NY",10016,832127,"08/19/2015","08/19/2015","07/31/2017",40.74385,-73.98615,"(40.74385, -73.98615)"
1268421,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EMPIRE EAST 34 INC","","120 E 34TH ST","STORE #5","NEW YORK","NY",10016,856640,"02/04/2014","02/01/2016","01/31/2018",40.74667061,-73.98035987,"(40.74667061, -73.98035987)"
1105842,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MORELAND INC","SIBERIA SOUTH","356 W 40TH STREET","","NEW YORK","NY",10018,838261,"","09/04/2014","07/31/2016",40.75656878,-73.99235713,"(40.75656878, -73.99235713)"
1027989,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","UEZU CORPORATION","KURUMAZUSHI II","7 E 47TH STREET","","NEW YORK","NY",10017,851319,"08/29/2005","09/01/2015","08/31/2017",40.75656479,-73.97816099,"(40.75656479, -73.97816099)"
1248427,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","VIA VAI PIZZERIA INC","","275 CHURCH STREET","","NEW YORK","NY",10013,844827,"03/18/2011","03/01/2015","02/28/2017",40.71843213,-74.00506554,"(40.71843213, -74.00506554)"
1199317,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MICKEY'S PLACE ON 43RD ST LTD","BAR 43","43 06 08 43RD STREET","QUEENS BOULEVARD & 43RD AVENUE","SUNNYSIDE","NY",11104,803996,"04/21/2008","04/01/2014","03/31/2016",40.6548455,-74.01604156,"(40.6548455, -74.01604156)"
1148784,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","K INTERNATIONAL TRADING INC","PIATTO D'ORO","349 E 109TH ST","1ST & 2ND AVENUES","NEW YORK","NY",10029,804376,"04/09/2004","04/09/2014","03/31/2016",40.79229317,-73.94040943,"(40.79229317, -73.94040943)"
1266889,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LAFAYETTE STREET PARTNERS II LLC","LAFAYETTE","380 LAFAYETTE ST","","NEW YORK","NY",10003,847807,"04/02/2013","04/01/2015","03/31/2017",40.72756751,-73.99338659,"(40.72756751, -73.99338659)"
1110385,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","RUE B CORP","","188 AVENUE B","E 11TH & 12TH STREETS","NEW YORK","NY",10009,847864,"","03/16/2015","11/30/2016",40.72777054,-73.97931427,"(40.72777054, -73.97931427)"
