"License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
1250828,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","RUBY FALLS NIGHTLIFE LLC","","45 PAGE AVENUE SUITE C","","STATEN ISLAND","NY",10309,843355,"02/23/2011","02/01/2015","01/31/2017",40.52370478,-74.23474507,"(40.52370478, -74.23474507)"
1223091,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","GREAT PERFORMANCES/ARTISTS AS WAITRESSES INC AND W","","675 W 252ND STREET","","BRONX","NY",10471,847915,"04/17/2009","04/01/2015","03/31/2017",40.90017574,-73.91117963,"(40.90017574, -73.91117963)"
1250847,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","DIVISION DEPARTMENT INC","SOHO LOUNGE","2213A & 2213B 65TH STREET","","BROOKLYN","NY",11204,855057,"07/20/2011","10/23/2015","06/30/2017",40.61366581,-73.9810152,"(40.61366581, -73.9810152)"
1105056,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CARIBBEAN SPORTS BAR & GRILL INC","","244 GRAND STREET","","BROOKLYN","NY",11211,834820,"","06/01/2014","05/31/2016",40.71351728,-73.95905159,"(40.71351728, -73.95905159)"
1273242,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","SORT OF INC","SORT OF WINE BAR","639 DRIGGS AVE","AKA 271 METROPOLITAN AVE","BROOKLYN","NY",11211,810835,"05/08/2014","05/08/2014","04/30/2016",40.71502994,-73.9585901,"(40.71502994, -73.9585901)"
1150732,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LO ENG INC","FAT BUDDHA","212 AVENUE A","13TH STREET & 14TH STREET","NEW YORK","NY",10009,836137,"07/30/2004","07/01/2014","06/30/2016",40.7297267,-73.98075738,"(40.7297267, -73.98075738)"
1194319,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HARU WALL STREET CORP","HARU","1 WALL ST COURT","BEAVER & PEARL","NEW YORK","NY",10005,854625,"12/20/2007","12/01/2015","11/30/2017",40.70773317,-74.01168815,"(40.70773317, -74.01168815)"
1250867,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GOLDEN ABACUS INC","BARKOGI","957 2ND AVENUE","","NEW YORK","NY",10022,847187,"08/01/2011","08/01/2015","07/31/2017",40.75537276,-73.968238,"(40.75537276, -73.968238)"
1250871,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","50 PENNYFIELD PUB INC","PADDY'S ON THE BAY","50 PENNYFIELD AVENUE","","BRONX","NY",10465,847085,"08/09/2011","08/01/2015","07/31/2017",40.80994954,-73.80352988,"(40.80994954, -73.80352988)"
1273226,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STHK LLC","SNACK EOS","522 9TH AVE","","NEW YORK","NY",10018,855119,"11/18/2013","11/01/2015","10/31/2017",40.75650516,-73.994019,"(40.75650516, -73.994019)"
1250894,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","RHAPSODY LOUNGE INC","","5314 CHURCH AVENUE","","BROOKLYN","NY",11203,845002,"03/10/2011","03/01/2015","02/28/2017",40.65227128,-73.92735153,"(40.65227128, -73.92735153)"
1028150,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GRAND HAVANA ROOM NEW YORK INC","","666 5TH AVENUE","","NEW YORK","NY",10103,804467,"05/12/1997","05/01/2014","04/30/2016",40.7601887,-73.97606678,"(40.7601887, -73.97606678)"
1250931,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","CULLEN PARTNERS LLC","BLEND","47 04 VERNON BOULEVARD","","LONG ISLAND CITY","NY",11101,844051,"03/09/2011","03/01/2015","02/28/2017",40.74538256,-73.95328145,"(40.74538256, -73.95328145)"
1250944,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MONA LISA 7 CORP","JJ","36 13 164TH STREET","","FLUSHING","NY",11358,853575,"10/04/2011","10/01/2015","09/30/2017",40.76264284,-73.80171637,"(40.76264284, -73.80171637)"
1243382,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","D P T SUPREME CORPORATION","LAVENDER LAKE","383 CARROLL STREET","","BROOKLYN","NY",11231,849598,"06/13/2011","06/01/2015","05/31/2017",40.67856107,-73.98995088,"(40.67856107, -73.98995088)"
1107113,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CAFFE ROMEO INC","","7111 20TH AVENUE","71ST & 72ND STREETS","BROOKLYN","NY",11204,836082,"","07/01/2014","06/30/2016",40.61301718,-73.98941272,"(40.61301718, -73.98941272)"
1126378,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","BRINKER RESTAURANT CORPORATION","CHILI'S GRILL & BAR","1497 RICHMOND AVENUE","","STATEN ISLAND","NY",10314,835366,"06/29/2004","06/01/2014","05/31/2016",40.61171024,-74.15939796,"(40.61171024, -74.15939796)"
1270903,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","BOWN9TH LLC","ROUGH TRADE","64 NORTH 9TH ST","","BROOKLYN","NY",11211,810607,"03/20/2014","03/20/2014","02/29/2016",40.7208063,-73.95952073,"(40.7208063, -73.95952073)"
1265085,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MILLER'S NEAR & FAR LLC","NEAR & FAR","65 RIVINGTON ST","","NEW YORK","NY",10002,848432,"04/04/2013","04/01/2015","03/31/2017",40.72057444,-73.99002736,"(40.72057444, -73.99002736)"
1193952,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","55 STONE REST INC","MAD DOG & BEANS","83 PEARL ST","","NEW YORK","NY",10004,856273,"12/19/2007","12/01/2015","11/30/2017",40.70394697,-74.01027107,"(40.70394697, -74.01027107)"
1151520,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","BRASS MONKEY LLC","BRASS MONKEY","53 55 LITTLE W 12TH STREET","13TH & 14TH STREETS","NEW YORK","NY",10014,835379,"06/02/2004","06/01/2014","05/31/2016",40.74057224,-74.00853198,"(40.74057224, -74.00853198)"
1268996,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PLANET HOLLYWOOD BROADWAY LLC","PLANET HOLLYWOOD","1540 BROADWAY","","NEW YORK","NY",10036,844199,"03/25/2013","03/01/2015","02/28/2017",40.75825042,-73.98553768,"(40.75825042, -73.98553768)"
1251031,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HUMMUS KITCHEN MURRAY HILL INC","HUMMUS KITCHEN","442 444 3RD AVE","","NEW YORK","NY",10016,848566,"04/14/2011","04/02/2015","03/31/2017",40.74362436,-73.97972071,"(40.74362436, -73.97972071)"
1012527,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","3152 RESTAURANT INC","","3152 BRIGHTON 6TH STREET","","BROOKLYN","NY",11235,845033,"03/11/1993","03/01/2015","02/28/2017",40.5757801,-73.96124367,"(40.5757801, -73.96124367)"
1193750,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","2151 MORENA RESTAURANT LLC","","2151 JEROME AVENUE","E 181ST STREET & CAMERON PL","BRONX","NY",10453,852737,"10/01/2007","10/01/2015","09/30/2017",40.85583014,-73.90561887,"(40.85583014, -73.90561887)"
1260458,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT","MANAGEMENT CORP, DBA: CORT THEATRE","138 W 48TH ST","","NEW YORK","NY",10036,845937,"09/14/2012","04/29/2015","08/31/2016",40.7592224,-73.98270694,"(40.7592224, -73.98270694)"
1251040,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","DRAFT INC","DRAFT BARN","28 DOOLEY STREET","","BROOKLYN","NY",11235,849302,"06/16/2011","06/01/2015","05/31/2017",40.5843127,-73.94508304,"(40.5843127, -73.94508304)"
1107035,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","L'ANTICO INC","BARBARESCO","843 LEXINGTON AVENUE","","NEW YORK","NY",10021,836467,"","08/01/2014","07/31/2016",40.76538819,-73.96578453,"(40.76538819, -73.96578453)"
1024697,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","224 AVENUE B INC","","224 AVENUE B","","NEW YORK","NY",10009,850343,"","07/01/2015","06/30/2017",40.72885452,-73.97853216,"(40.72885452, -73.97853216)"
1193674,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","BAR GREAT HARRY LLC","","280 SMITH STREET","SACKETT & DEGRAW","BROOKLYN","NY",11231,850562,"08/30/2007","08/01/2015","07/31/2017",40.68232025,-73.99353227,"(40.68232025, -73.99353227)"
1251058,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","QITME INC","QI","675 8TH AVENUE","","NEW YORK","NY",10036,847767,"04/20/2011","04/01/2015","03/31/2017",40.7577934,-73.98936109,"(40.7577934, -73.98936109)"
1028198,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LOUYA CORP","JACQUES BISTRO","204 206 E 85TH ST","","NEW YORK","NY",10028,854057,"11/17/1999","11/01/2015","10/31/2017",40.77799417,-73.95430384,"(40.77799417, -73.95430384)"
1151690,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","105 NORTH 6TH INC","SWEETWATER","105 N 6TH ST","BERRY & WYETH STREETS","BROOKLYN","NY",11222,837745,"09/01/2004","09/01/2014","08/31/2016",40.71835996,-73.96003286,"(40.71835996, -73.96003286)"
1260426,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","TERERE CORPORATION","TABARE RESTAURANT","221 SOUTH 1ST ST","","BROOKLYN","NY",11211,834196,"02/24/2012","02/01/2016","01/31/2018",40.71291481,-73.95900702,"(40.71291481, -73.95900702)"
1151698,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MANHATTAN ISLAND GROUP LLC","","146 BEEKMAN ST","FRONT & SOUTH STREETS","NEW YORK","NY",10038,836808,"08/30/2004","08/01/2014","07/31/2016",40.7071984,-74.00263268,"(40.7071984, -74.00263268)"
1151703,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MANSFIELD HOTEL LLC, THE","MANSFIELD HOTEL","12 W 44TH ST","5TH & 6TH AVENUES","NEW YORK","NY",10036,835574,"07/29/2004","07/01/2014","06/30/2016",40.75488126,-73.98035742,"(40.75488126, -73.98035742)"
1251106,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LOS CUATES LLC","ROSARITO","168 170 WYTHE AVE","","BROOKLYN","NY",11211,849579,"06/08/2011","06/01/2015","05/31/2017",40.71946553,-73.96057447,"(40.71946553, -73.96057447)"
